node,mixed,sit and wait,widely foraging
487,0.158,0.488,0.354
488,0.018,0.578,0.404
489,0.006,0.954,0.04
490,0.009,0.969,0.022
491,0.015,0.955,0.03
492,0.067,0.918,0.015
493,0.002,0.998,0
494,0,1,0
495,0.086,0.475,0.439
496,0.099,0.467,0.434
497,0.04,0.499,0.461
498,0,0.996,0.004
499,0,1,0
500,0,1,0
501,0,1,0
502,0,1,0
503,0,1,0
504,0,1,0
505,0,1,0
506,0,1,0
507,0,1,0
508,0.033,0.965,0.002
509,0,1,0
510,0,1,0
511,0.006,0.96,0.034
512,0.03,0.747,0.223
513,0.039,0.689,0.272
514,0.382,0.103,0.515
515,0.035,0.615,0.35
516,0.028,0.314,0.658
517,0,0.998,0.002
518,0,1,0
519,0.006,0.992,0.002
520,0.013,0.979,0.008
521,0.001,0.998,0.001
522,0.001,0.999,0
523,0.001,0.999,0
524,0,1,0
525,0.002,0.998,0
526,0.002,0.998,0
527,0.001,0.997,0.002
528,0.002,0.998,0
529,0.088,0.887,0.025
530,0,1,0
531,0,0.999,0.001
532,0.001,0.998,0.001
533,0.008,0.987,0.005
534,0.007,0.989,0.004
535,0,0.999,0.001
536,0.002,0.994,0.004
537,0.007,0.978,0.015
538,0.022,0.904,0.074
539,0.031,0.951,0.018
540,0.542,0.15,0.308
541,0.376,0.117,0.507
542,0.375,0.123,0.502
543,0.521,0.292,0.187
544,0.963,0.012,0.025
545,0,1,0
546,0.001,0.999,0
547,0.048,0.89,0.062
548,0.15,0.681,0.169
549,0.002,0.998,0
550,0.008,0.991,0.001
551,0.058,0.923,0.019
552,0.015,0.961,0.024
553,0.027,0.957,0.016
554,0.044,0.937,0.019
555,0.005,0.995,0
556,0.068,0.93,0.002
557,0.975,0.022,0.003
558,0.981,0.014,0.005
559,0.069,0.925,0.006
560,0.123,0.865,0.012
561,0.003,0.995,0.002
562,0.029,0.847,0.124
563,0.006,0.992,0.002
564,0.006,0.991,0.003
565,0.002,0.997,0.001
566,0.027,0.949,0.024
567,0.072,0.906,0.022
568,0.009,0.988,0.003
569,0.002,0.995,0.003
570,0.001,0.998,0.001
571,0.036,0.962,0.002
572,0.246,0.742,0.012
573,0.611,0.363,0.026
574,0.001,0.998,0.001
575,0.001,0.999,0
576,0,1,0
577,0.001,0.999,0
578,0.002,0.997,0.001
579,0.009,0.548,0.443
580,0.021,0.527,0.452
581,0.034,0.59,0.376
582,0,0.998,0.002
583,0,1,0
584,0.043,0.705,0.252
585,0.017,0.948,0.035
586,0,1,0
587,0,1,0
588,0,1,0
589,0,1,0
590,0.014,0.039,0.947
591,0.006,0.004,0.99
592,0.036,0.005,0.959
593,0.002,0,0.998
594,0,0,1
595,0,0,1
596,0,0,1
597,0,0,1
598,0,0,1
599,0,0,1
600,0,0,1
601,0,0.002,0.998
602,0.001,0,0.999
603,0,0,1
604,0.001,0,0.999
605,0.001,0,0.999
606,0,0,1
607,0,0,1
608,0,0,1
609,0,0,1
610,0,0,1
611,0.002,0,0.998
612,0,0.001,0.999
613,0,0.004,0.996
614,0,0.003,0.997
615,0.001,0.041,0.958
616,0,0,1
617,0,0,1
618,0,0,1
619,0,0,1
620,0,0,1
621,0,0,1
622,0,0,1
623,0,0,1
624,0,0,1
625,0,0,1
626,0,0,1
627,0,0,1
628,0,0,1
629,0,0,1
630,0,0,1
631,0,0,1
632,0,0,1
633,0.016,0,0.984
634,0.023,0,0.977
635,0.042,0.016,0.942
636,0.038,0.022,0.94
637,0.057,0,0.943
638,0.979,0,0.021
639,0,0,1
640,0,0,1
641,0,0,1
642,0,0,1
643,0,0,1
644,0,0,1
645,0,0,1
646,0,0,1
647,0.002,0,0.998
648,0.003,0,0.997
649,0.006,0.038,0.956
650,0.027,0,0.973
651,0.027,0,0.973
652,0.061,0.003,0.936
653,0.983,0.003,0.014
654,0.001,0,0.999
655,0.002,0,0.998
656,0,0,1
657,0.039,0,0.961
658,0.473,0,0.527
659,0.518,0,0.482
660,0.517,0.002,0.481
661,0,0,1
662,0.001,0.001,0.998
663,0,0,1
664,0,0,1
665,0,0,1
666,0,0,1
667,0,0,1
668,0,0,1
669,0,0,1
670,0.001,0.001,0.998
671,0.022,0.003,0.975
672,0,0,1
673,0,0,1
674,0,0,1
675,0,0,1
676,0,0,1
677,0,0,1
678,0,0,1
679,0,0,1
680,0,0,1
681,0,0,1
682,0,0,1
683,0.007,0.509,0.484
684,0.012,0.402,0.586
685,0.001,0,0.999
686,0.004,0.001,0.995
687,0.001,0,0.999
688,0,0.001,0.999
689,0,0,1
690,0.001,0.001,0.998
691,0,0,1
692,0,0,1
693,0,0,1
694,0,0,1
695,0,0,1
696,0,0,1
697,0,0,1
698,0,0,1
699,0,0,1
700,0,0,1
701,0,0,1
702,0,0,1
703,0,0,1
704,0,0,1
705,0,0,1
706,0,0.001,0.999
707,0.001,0,0.999
708,0,0,1
709,0,0,1
710,0,0,1
711,0,0.001,0.999
712,0,0,1
713,0,0,1
714,0.001,0.002,0.997
715,0,0.001,0.999
716,0.001,0,0.999
717,0.001,0,0.999
718,0.001,0,0.999
719,0,0,1
720,0,0,1
721,0.015,0.02,0.965
722,0.027,0.027,0.946
723,0.061,0.024,0.915
724,0.012,0.096,0.892
725,0,0.001,0.999
726,0,0,1
727,0,0,1
728,0,0,1
729,0.002,0.003,0.995
730,0.022,0.006,0.972
731,0,0.001,0.999
732,0.006,0.004,0.99
733,0.044,0.059,0.897
734,0.082,0.041,0.877
735,0,0.003,0.997
736,0.003,0.044,0.953
737,0,0,1
738,0,0.001,0.999
739,0,0,1
740,0.001,0,0.999
741,0.001,0.012,0.987
742,0.004,0.026,0.97
743,0.004,0,0.996
744,0.023,0.003,0.974
745,0.078,0.04,0.882
746,0.035,0.105,0.86
747,0.04,0.003,0.957
748,0,0,1
749,0,0,1
750,0,0,1
751,0,0,1
752,0,0,1
753,0,0,1
754,0,0,1
755,0,0,1
756,0,0,1
757,0,0,1
758,0.001,0,0.999
759,0,0,1
760,0,0,1
761,0,0,1
762,0.002,0.012,0.986
763,0,0,1
764,0.002,0.003,0.995
765,0,0,1
766,0,0,1
767,0,0,1
768,0,0,1
769,0.009,0.526,0.465
770,0.009,0.046,0.945
771,0.008,0.032,0.96
772,0,0.001,0.999
773,0.009,0.041,0.95
774,0.002,0.983,0.015
775,0.001,0.003,0.996
776,0.001,0.001,0.998
777,0,0,1
778,0,0.001,0.999
779,0.001,0.001,0.998
780,0.001,0.035,0.964
781,0.001,0.001,0.998
782,0.008,0.001,0.991
783,0.001,0.001,0.998
784,0.008,0.037,0.955
785,0,0,1
786,0,0,1
787,0,0,1
788,0,0,1
789,0,0,1
790,0,0,1
791,0,0,1
792,0,0,1
793,0,0,1
794,0.016,0.026,0.958
795,0.042,0.017,0.941
796,0,0,1
797,0,0,1
798,0,0,1
799,0,0,1
800,0,0,1
801,0,0.001,0.999
802,0.007,0.014,0.979
803,0.014,0.012,0.974
804,0.128,0.016,0.856
805,0.139,0.011,0.85
806,0.207,0.107,0.686
807,0,0.001,0.999
808,0,0.02,0.98
809,0,0,1
810,0.001,0.888,0.111
811,0,0.989,0.011
812,0.02,0.727,0.253
813,0.042,0.878,0.08
814,0.469,0.453,0.078
815,0.452,0.468,0.08
816,0.349,0.542,0.109
817,0.041,0.947,0.012
