node,sit and wait,widely foraging
426,0.68,0.32
427,0.664,0.336
428,0.963,0.037
429,0.983,0.017
430,0.977,0.023
431,0.999,0.001
432,1,0
433,0.537,0.463
434,0.535,0.465
435,0.998,0.002
436,1,0
437,1,0
438,1,0
439,1,0
440,0.999,0.001
441,1,0
442,1,0
443,1,0
444,1,0
445,1,0
446,1,0
447,0.966,0.034
448,0.782,0.218
449,0.713,0.287
450,0.629,0.371
451,0.261,0.739
452,1,0
453,1,0
454,0.998,0.002
455,1,0
456,1,0
457,0.999,0.001
458,1,0
459,0.998,0.002
460,1,0
461,0.999,0.001
462,1,0
463,1,0
464,1,0
465,1,0
466,0.998,0.002
467,0.997,0.003
468,1,0
469,0.999,0.001
470,0.986,0.014
471,0.92,0.08
472,0.984,0.016
473,0.279,0.721
474,0.286,0.714
475,1,0
476,0.998,0.002
477,0.945,0.055
478,0.998,0.002
479,0.998,0.002
480,0.982,0.018
481,0.993,0.007
482,0.998,0.002
483,0.997,0.003
484,0.997,0.003
485,0.892,0.108
486,0.998,0.002
487,0.993,0.007
488,0.999,0.001
489,0.974,0.026
490,0.997,0.003
491,1,0
492,0.997,0.003
493,1,0
494,1,0
495,1,0
496,0.999,0.001
497,0.999,0.001
498,0.624,0.376
499,0.603,0.397
500,0.647,0.353
501,1,0
502,1,0
503,0.719,0.281
504,0.961,0.039
505,1,0
506,1,0
507,1,0
508,1,0
509,0.039,0.961
510,0.006,0.994
511,0,1
512,0,1
513,0,1
514,0,1
515,0,1
516,0,1
517,0,1
518,0,1
519,0.005,0.995
520,0.001,0.999
521,0,1
522,0,1
523,0,1
524,0,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,0.002,0.998
531,0.001,0.999
532,0.041,0.959
533,0,1
534,0,1
535,0,1
536,0,1
537,0,1
538,0,1
539,0,1
540,0,1
541,0,1
542,0,1
543,0,1
544,0,1
545,0,1
546,0,1
547,0,1
548,0,1
549,0.001,0.999
550,0.001,0.999
551,0.02,0.98
552,0,1
553,0,1
554,0,1
555,0,1
556,0,1
557,0,1
558,0,1
559,0,1
560,0,1
561,0,1
562,0.039,0.961
563,0,1
564,0,1
565,0,1
566,0,1
567,0,1
568,0,1
569,0,1
570,0,1
571,0,1
572,0,1
573,0,1
574,0,1
575,0,1
576,0,1
577,0,1
578,0,1
579,0,1
580,0,1
581,0,1
582,0,1
583,0,1
584,0,1
585,0,1
586,0,1
587,0,1
588,0,1
589,0.571,0.429
590,0.422,0.578
591,0.002,0.998
592,0.001,0.999
593,0.001,0.999
594,0.001,0.999
595,0,1
596,0.001,0.999
597,0,1
598,0,1
599,0,1
600,0,1
601,0,1
602,0,1
603,0,1
604,0,1
605,0,1
606,0,1
607,0,1
608,0,1
609,0,1
610,0,1
611,0,1
612,0.003,0.997
613,0.001,0.999
614,0,1
615,0,1
616,0,1
617,0,1
618,0,1
619,0,1
620,0,1
621,0,1
622,0,1
623,0,1
624,0.001,0.999
625,0,1
626,0,1
627,0.023,0.977
628,0.029,0.971
629,0.076,0.924
630,0,1
631,0,1
632,0,1
633,0,1
634,0,1
635,0,1
636,0.004,0.996
637,0.045,0.955
638,0.002,0.998
639,0.034,0.966
640,0,1
641,0,1
642,0,1
643,0,1
644,0.007,0.993
645,0.035,0.965
646,0,1
647,0.002,0.998
648,0.075,0.925
649,0.001,0.999
650,0,1
651,0,1
652,0,1
653,0,1
654,0,1
655,0,1
656,0,1
657,0,1
658,0,1
659,0.001,0.999
660,0,1
661,0,1
662,0,1
663,0.008,0.992
664,0,1
665,0.002,0.998
666,0,1
667,0,1
668,0,1
669,0,1
670,0.595,0.405
671,0.038,0.962
672,0.034,0.966
673,0,1
674,0.037,0.963
675,0.982,0.018
676,0.002,0.998
677,0,1
678,0.001,0.999
679,0,1
680,0,1
681,0.024,0.976
682,0.001,0.999
683,0.001,0.999
684,0.029,0.971
685,0,1
686,0,1
687,0,1
688,0,1
689,0,1
690,0,1
691,0,1
692,0,1
693,0.001,0.999
694,0.019,0.981
695,0,1
696,0,1
697,0,1
698,0,1
699,0,1
700,0.002,0.998
701,0.013,0.987
702,0.012,0.988
703,0.017,0.983
704,0.003,0.997
705,0.03,0.97
706,0.001,0.999
707,0.903,0.097
708,0.991,0.009
709,0.803,0.197
710,0.94,0.06
711,0.867,0.133
712,0.991,0.009
713,0.996,0.004
714,1,0
715,1,0
716,1,0
717,1,0
718,1,0
719,1,0
720,0.999,0.001
721,1,0
722,1,0
723,1,0
724,1,0
725,1,0
726,1,0
727,1,0
728,1,0
729,1,0
730,1,0
731,1,0
732,0.998,0.002
733,1,0
734,0.999,0.001
735,1,0
736,1,0
737,1,0
738,0.998,0.002
739,0.997,0.003
740,1,0
741,1,0
742,0.999,0.001
743,0.997,0.003
744,0.999,0.001
745,1,0
746,0.989,0.011
747,0.887,0.113
748,0.995,0.005
749,1,0
750,1,0
751,1,0
752,1,0
753,1,0
754,0.999,0.001
755,1,0
756,0.992,0.008
757,0.959,0.041
758,1,0
759,0.985,0.015
760,0.999,0.001
761,1,0
762,1,0
763,0.999,0.001
764,1,0
765,1,0
766,1,0
767,1,0
768,1,0
769,1,0
770,1,0
771,1,0
772,1,0
773,1,0
774,1,0
775,1,0
776,1,0
777,1,0
778,1,0
779,1,0
780,1,0
781,1,0
782,1,0
783,1,0
784,1,0
785,1,0
786,1,0
787,1,0
788,1,0
789,1,0
790,1,0
791,0.995,0.005
792,1,0
793,1,0
794,1,0
795,1,0
796,1,0
797,1,0
798,1,0
799,1,0
800,1,0
801,1,0
802,1,0
803,1,0
804,1,0
805,1,0
806,1,0
807,1,0
808,1,0
809,1,0
810,1,0
811,1,0
812,1,0
813,1,0
814,1,0
815,0.999,0.001
816,1,0
817,1,0
818,1,0
819,1,0
820,0.998,0.002
821,1,0
822,1,0
823,1,0
824,0.966,0.034
825,1,0
826,1,0
827,1,0
828,1,0
829,1,0
830,1,0
831,1,0
832,1,0
833,1,0
834,1,0
835,0.995,0.005
836,1,0
837,1,0
838,1,0
839,1,0
840,1,0
841,1,0
842,1,0
843,1,0
844,1,0
845,1,0
846,1,0
847,1,0
848,1,0
849,1,0
